,Artist,Url_spotify,Track,Album,Tempo,Url_youtube,Youtube Views,Likes,Spotify Streams
43,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Something Just Like This,Memories...Do Not Open,103.019,https://www.youtube.com/watch?v=FM7MFYoylVs,2118018686,10282499,2030825694
44,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,The Scientist,A Rush of Blood to the Head,146.277,https://www.youtube.com/watch?v=RB-RcX5DS5A,1082588109,5532787,1465980600
45,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,A Sky Full of Stars,Ghost Stories,124.97,https://www.youtube.com/watch?v=VPRjCeoBqrI,786404613,3741300,1021782403
46,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Paradise,Mylo Xyloto,139.631,https://www.youtube.com/watch?v=1G4isv_Fylg,1665814269,8497224,927288329
47,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Hymn for the Weekend,A Head Full of Dreams,90.027,https://www.youtube.com/watch?v=YykjpeuMNEk,1828242112,13515772,1049654852
48,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,My Universe,Music Of The Spheres,105.006,https://www.youtube.com/watch?v=3YqPKLZF_WU,254655970,8867547,883224238
49,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Fix You,X&Y,138.178,https://www.youtube.com/watch?v=k4V3Mo61fJM,566239229,2962029,1115171056
50,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],116.047,https://www.youtube.com/watch?v=CCHdMIEGaaM,32310867,956073,844698895
51,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,One More Time,Discovery,122.746,https://www.youtube.com/watch?v=FGBhQbmPwH8,432177586,2707992,471747761
52,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Instant Crush (feat. Julian Casablancas),Random Access Memories,109.942,https://www.youtube.com/watch?v=a5uQMwRMHcs,606828966,3111505,460589724
53,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,116.05,https://www.youtube.com/watch?v=CCHdMIEGaaM,32310867,956073,400304719
54,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Around the World,Homework,121.294,https://www.youtube.com/watch?v=K0HSD_i2DvA,38218353,466569,293417547
55,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,"Harder, Better, Faster, Stronger",Discovery,123.474,https://www.youtube.com/watch?v=gAjR4_CbPpQ,121308880,1329678,292668007
56,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Something About Us,Discovery,99.958,https://www.youtube.com/watch?v=sOS9aOIXPEk,77464307,723914,185381876
57,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Lose Yourself to Dance (feat. Pharrell Williams),Random Access Memories,100.163,https://www.youtube.com/watch?v=NF-kLy44Hls,195983803,1115598,274711166
58,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Veridis Quo,Discovery,106.896,https://www.youtube.com/watch?v=HhZaHf8RP6g,23984070,216822,90589464
59,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Digital Love,Discovery,124.726,https://www.youtube.com/watch?v=FxzBvqY5PP0,30079390,203063,115484456
60,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,In the End,Hybrid Theory (Bonus Edition),105.143,https://www.youtube.com/watch?v=eVTXPUF4Oz4,1487186392,10183387,1444841705
61,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Numb,Meteora,110.018,https://www.youtube.com/watch?v=kXYiU_JCYtU,1928733776,12341722,1195213410
62,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,What I've Done,Minutes to Midnight,120.119,https://www.youtube.com/watch?v=8sgycukafqQ,587927093,3370635,589294152
63,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Numb / Encore,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,107.045,https://www.youtube.com/watch?v=DLlF2FMv968,44436981,226771,778880225
64,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,One Step Closer,Hybrid Theory (Bonus Edition),95.136,https://www.youtube.com/watch?v=4qlCC1GOwFw,154808291,1102031,447287242
65,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Faint,Meteora,135.095,https://www.youtube.com/watch?v=LYU-8IFcDPw,378323695,2061834,413355749
66,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Bleed It Out,Minutes to Midnight,140.127,https://www.youtube.com/watch?v=OnuuYcqhzCE,135176149,762715,388331061
67,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Papercut,Hybrid Theory (Bonus Edition),150.184,https://www.youtube.com/watch?v=vjVkXlxsO8Q,240834555,1400306,345142662
68,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Crawling,Hybrid Theory (Bonus Edition),105.076,https://www.youtube.com/watch?v=Gd9OhYroLN0,374506972,2197293,391929621
69,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,BURN IT DOWN,LIVING THINGS,110.006,https://www.youtube.com/watch?v=dxytyRy-O1k,353135986,2534190,368132993
70,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Creep,Pablo Honey,91.844,https://www.youtube.com/watch?v=XFkzRNyygfk,763497849,4777393,1101854725
71,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,No Surprises,OK Computer,76.426,https://www.youtube.com/watch?v=u5CVsCnxyXg,167847274,1274934,379349681
72,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Karma Police,OK Computer,74.807,https://www.youtube.com/watch?v=1uYWYWPc9HU,89246405,593396,382823305
73,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,High and Dry,The Bends,87.568,https://www.youtube.com/watch?v=AG6H5i1x5A0,80290,2133,291096318
74,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Exit Music (For A Film),OK Computer,121.603,https://www.youtube.com/watch?v=Bf01riuiJWA,10644157,171322,146857863
75,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Weird Fishes/ Arpeggi,In Rainbows,152.958,https://www.youtube.com/watch?v=TNRCvG9YtYI,15335499,125774,121688699
76,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Jigsaw Falling Into Place,In Rainbows,165.653,https://www.youtube.com/watch?v=GoLJJRIWCLU,26398730,180969,79367881
77,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Fake Plastic Trees,The Bends,73.543,https://www.youtube.com/watch?v=n5h0qHwNrHk,61340263,398951,219867047
78,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Just,The Bends,175.702,https://www.youtube.com/watch?v=oIFLtNYI3Ls,15041854,146328,88945336
79,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Nude,In Rainbows,128.378,https://www.youtube.com/watch?v=BbWBRnDK_AE,12205514,124486,86388469
80,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Highway to Hell,Highway to Hell,115.728,https://www.youtube.com/watch?v=l482T0yNkeo,274830901,2039258,1143164505
81,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Thunderstruck,The Razors Edge,133.52,https://www.youtube.com/watch?v=v2AC41dglnM,1224226060,5989128,1088388556
82,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Back In Black,Back In Black,188.386,https://www.youtube.com/watch?v=pAgnJDJN4VA,915158054,5643694,1182379398
83,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,You Shook Me All Night Long,Back In Black,127.361,https://www.youtube.com/watch?v=Lo2qQmj0_h4,279117834,1348845,802076123
84,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,T.N.T.,High Voltage,126.366,https://www.youtube.com/watch?v=44XYEeD1A1U,240908491,934797,526521070
85,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Hells Bells,Back In Black,106.767,https://www.youtube.com/watch?v=etAIpkdhU9Q,252038354,1067479,296521772
86,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,135.653,https://www.youtube.com/watch?v=jsjdjWGDvFk,852728,14044,269837425
87,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Shoot to Thrill,Back In Black,141.038,https://www.youtube.com/watch?v=xRQnJyP77tY,172293392,642344,292026041
88,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),High Voltage,135.962,https://www.youtube.com/watch?v=j9Z39Uqybcw,102527,1881,196347993
89,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Rock N Roll Train,Black Ice,118.4,https://www.youtube.com/watch?v=FrFvNphZ5BQ,18237531,119749,144143014
90,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),127.966,https://www.youtube.com/watch?v=uSD4vsh1zDA,638267058,3670416,1001227038
91,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,DON'T YOU WORRY,ELEVATION,131.971,https://www.youtube.com/watch?v=me19SUmWu2s,144690551,1327396,162685755
92,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Where Is The Love?,Elephunk,94.086,https://www.youtube.com/watch?v=WpYeekQkAdc,888076529,4899065,752091441
93,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Just Canâ€™t Get Enough,The Beginning,94.05,https://www.youtube.com/watch?v=OrTyD7rjBpw,292211575,1594576,331578264
94,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,GIRL LIKE ME,TRANSLATION,124.025,https://www.youtube.com/watch?v=vMLk_T0PPbk,662529115,5488829,453923193
95,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Pump It,Monkey Business,153.645,https://www.youtube.com/watch?v=ZaI2IlHwmgQ,755836314,4746197,492130246
96,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Pump It Louder,Pump It Louder,126.017,https://www.youtube.com/watch?v=H7qR7xvKFEU,2099141,61252,27908495
97,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Meet Me Halfway,THE E.N.D. (THE ENERGY NEVER DIES),130.002,https://www.youtube.com/watch?v=I7HahVwYpwo,458724349,2094991,363930118
98,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,RITMO (Bad Boys For Life),TRANSLATION,105.093,https://www.youtube.com/watch?v=EzKkl64rRbM,1021503328,6398855,869795408
99,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,SIMPLY THE BEST,ELEVATION,126.042,https://www.youtube.com/watch?v=AbNOhZ1rsG8,43226385,242932,18501860
100,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Billie Jean,Thriller,117.002,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,1300732161,9523245,1302677366
101,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Chicago,XSCAPE,176.086,https://www.youtube.com/watch?v=xaYSqjvZjTs,545655,7314,103974637
102,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Beat It,Thriller,138.728,https://www.youtube.com/watch?v=oRdxUFDoQe0,905692299,6656468,826832314
103,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Smooth Criminal - 2012 Remaster,Bad (Remastered),118.193,https://www.youtube.com/watch?v=q8w1d01Y2vY,84652754,672624,526030670
104,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Rock with You - Single Version,Off the Wall,114.031,https://www.youtube.com/watch?v=5X-Mrc2l1d0,301845823,2269865,346137424
